school_id	anaemic	sth	malaria	thin	freq_ill
5176514	0.1	0.055556	0.2	0.55	0.05
10000001	0	0	0	0.5	0.05
10000002	0	0	0	1	0
10000003	0	0	0	0.888889	0
10000004	0.055556	0	0	0.95	0.05
10101006	0.125	0	0	0.6875	0.3
10101008	0	0.642857	0	0.55	0
10101011	0.058824	0	0	0.705882	0
10103022	0.133333	0	0	0.466667	0.3
10103023	0.2	0.733333	0	0.45	0.25
10104031	0.066667	0	0	0.6	0
10205043	0.157895	0	0	0.684211	0.1
10206050	0	0	0	0.85	0.2
10206055	0.052632	0	0	0.736842	0.052632
10207062	0.1	0.05	0	0.45	0.05
10208066	0	0	0	0.25	0
10208069	0	0.055556	0.105263	0.5	0.157895
10309078	0.05	0	0	0.75	0.25
10310085	0.111111	0.166667	0	0.722222	0.45
10310089	0.1	0.222222	0	0.5	0.1
10310091	0.05	0	0	0.55	0.1
10311097	0	0	0	0.944444	0.055556
20412102	0.052632	0.263158	0.052632	0.473684	0.052632
20413108	0	0.25	0	0.588235	0.058824
20413109	0	0	0	0.363636	0.15
20413115	0.133333	0	0	0.533333	0.052632
20413116	0	0	0	0.764706	0.111111
20414126	0	0	0	0.736842	0.1
20414127	0.285714	0	0	0.375	0.1
20414129	0.133333	0	0	0.777778	0.052632
20416143	0.1	0	0	0.75	0.15
20417148	0.055556	0	0	0.555556	0.052632
20417149	0	0.052632	0	0.55	0.15
20622175	0.05	0	0	0.65	0.1
20623181	0	0	0	0.764706	0.2
20623182	0.133333	0.416667	0.05	0.733333	0
20624188	0.052632	0	0	0.526316	0.05
20626205	0.066667	0.071429	0.05	0.466667	0.2
30727211	0.222222	0	0	0.555556	0.2
30727212	0	0	0	0.45	0.15
30727215	0.166667	0.071429	0	0.833333	0.25
30728219	0	0	0	0.625	0.125
30729229	0.222222	0.076923	0	0.65	0.15
30729231	0.125	0	0.055556	0.625	0.111111
30729241	0.058824	0	0	0.529412	0.105263
30730249	0	0	0	0.6	0.15
30831254	0	0	0	0.75	0.05
30832258	0.157895	0	0	0.736842	0
30832259	0	0	0	0.7	0
30832267	0.166667	0	0	1.38889	0
30935283	0.153846	0	0.4	0.615385	0.2
30935286	0.05	0	0.05	0.3	0.15
30935292	0	0	0	0.166667	0.214286
30937303	0.15	0	0.05	0.6	0.4
41039319	0.421053	0.052632	0.176471	0.421053	0.375
41039321	0.25	0	0.294118	0.6875	0.117647
41039323	0.277778	0	0.105263	0.722222	0.263158
41039324	0.368421	0.538462	0.35	0.526316	0.6
41041338	0.277778	0	0.111111	0.555556	0.277778
41041340	0.235294	0	0.111111	1	0.277778
41042346	0.277778	0	0.210526	0.666667	0.210526
41042347	0.375	0	0.052632	0.5	0.157895
41143361	0.411765	0.4	0.75	0.411765	0.4
41143365	0.05	0.052632	0.6	0.7	0.15
41143367	0.052632	0.166667	0.5	0.631579	0
41244372	0.611111	0.375	0.157895	0.444444	0.105263
41245379	0.117647	0.133333	0.05	0.176471	0
41448403	0.263158	0.076923	0.210526	0.421053	0.210526
41448406	0.277778	0	0.5	0.722222	0
51055473	0.058824	0	0	0.705882	0.176471
51550420	0.1	0	0	0.8	0.1
51550423	0.3125	0.428571	0.066667	0.5	0.133333
51550427	0.05	0	0	0.55	0
51550429	0	0.166667	0	0.45	0.45
51550431	0	0	0	1.05263	0
51653460	0.05	0	0.05	0.631579	0.45
51656479	0.473684	0.166667	0	0.736842	0.4
51760499	0.25	0.45	0.15	0.45	0.15
51760507	0.176471	0	0.105263	0.588235	0
51761511	0.166667	0.388889	0	0.555556	0.05
51761513	0.294118	0.071429	0	0.823529	0.111111
51761515	0	0	0	0.526316	0
61862528	0	0	0	0.722222	0.421053
61863532	0.277778	0	0	0.684211	0.263158
61864544	0.15	0	0	0.5	0.2
61864547	0.263158	0	0.1	0.789474	0.1
61864548	0.166667	0	0.1	0.555556	0
61865551	0.157895	0.0625	0	0.55	0.3
61865560	0.0625	0	0	0.6875	0.1
61865561	0.125	0.076923	0	0.5	0.105263
61867584	0.315789	0	0	0.736842	0.105263
61968591	0.117647	0	0.0625	0.647059	0.235294
61968593	0.157895	0	0.1	0.526316	0.368421
61968595	0.15	0.166667	0	1.05	0.25
61968602	0.117647	0.153846	0.166667	0.352941	0.388889
61969617	0.2	0.05	0.05	0.4	0.15
61969622	0.157895	0.352941	0.15	0.894737	0
72070627	0.153846	0	0.0625	0.538462	0.1875
72070633	0.05	0	0	0.6	0.210526
72070638	0.058824	0	0.1	0.526316	0.1
72070639	0.052632	0	0	0.473684	0.05
72070642	0.235294	0	0.05	1	0
72071647	0	0.1	0	0.692308	0.066667
72072662	0.157895	0.222222	0.3	0.526316	0.05
72073674	0.111111	0	0.1	0.842105	0.25
72073676	0.058824	0	0.058824	0.705882	0.176471
72073680	0.157895	0	0.1	0.526316	0.1
72074693	0.15	0	0	0.35	0.105263
72074695	0.055556	0	0	0.722222	0.1
72175699	0.266667	0	0	0.533333	0.2
72176718	0.05	0	0.1	0.7	0.2
72177725	0.105263	0	0	0.789474	0.2
82278734	0.133333	0.285714	0	0.466667	0.5625
82278735	0.181818	0.272727	0	0.636364	0.090909
82278738	0.105263	0	0	0.6	0.1
82278741	0.052632	0	0.05	0.578947	0.05
82278747	0	0	0	0.736842	0.05
82279757	0.157895	0	0	0.736842	0.052632
82279760	0	0	0	0.5	0.1
82279763	0.210526	0	0	0.315789	0
82280774	0	0	0	0.473684	0.05
82282792	0.058824	0.375	0	0.647059	0.105263
82282796	0	0	0	0.625	0.117647
82384813	0.176471	0	0.277778	0.470588	0.5
82384818	0.105263	0	0.105263	0.473684	0.052632
82385824	0.105263	0	0.789474	0.578947	0.315789
82385829	0.052632	0	0.05	0.684211	0.1
92486841	0	0	0.1	0.5	0.1
92486843	0.117647	0	0	0.529412	0.111111
92486844	0.105263	0	0	0.421053	0.1
92487856	0.117647	0.0625	0	0.647059	0.058824
92489878	0.166667	0	0	0.5	0.166667
92489886	0.277778	0	0	0.722222	0.210526
92489889	0	0	0.052632	0.588235	0.210526
92489890	0.111111	0	0	0.611111	0.052632
92489891	0	0	0	0.352941	0.3
92489894	0.055556	0	0	0.777778	0
92590903	0.111111	0.388889	0	0.833333	0.1
92590906	0.111111	0	0	0.444444	0.15
92591916	0.181818	0	0	0.454545	0.333333
92591920	0.111111	0	0	0.65	0.25
92591922	0.052632	0	0	0.947368	0.15
