"school_id" "attend80_propn" "edu_zone" "drinkwat" "toilets" "poorschool"
20623181 0.5 603 1 0 1
82278734 0.38 2201 1 0 1
82278735 0.64 2201 0 0 0
82279757 0.4 2202 1 1 1
82282792 0.58 2204 1 0 1
92489878 0.38 2401 1 1 1
92590903 0.4 2504 1 0 1
5176514 0.9 1701 1 0 0
10101006 0.5 101 1 0 1
10101008 0.8 101 1 0 1
10101011 0.95 101 1 1 0
10103022 0.75 104 1 1 0
10103023 0.4 104 1 1 1
10104031 0.71 103 1 0 0
10205043 0.6 201 1 0 0
10206050 0.8 204 1 1 1
10206055 0.95 204 1 1 0
10207062 0.8 202 1 0 0
10208066 1 203 1 1 0
10208069 0.88 203 1 0 1
10309078 0.7 303 1 0 1
10310085 0.55 301 1 1 1
10310089 0.85 301 1 1 0
10310091 0.9 301 1 0 1
10311097 0.88 302 1 0 1
20412102 0.74 403 0 0 1
20413108 0.83 404 1 0 0
20413109 0.9 404 1 0 1
20413115 0.95 404 1 1 0
20413116 0.74 404 1 0 0
20414126 0.95 401 1 1 0
20414127 0.95 401 1 0 0
20414129 0.84 401 1 1 0
20416143 0.55 405 1 0 1
20417148 0.94 406 1 1 0
20417149 0.9 406 0 0 0
20622175 0.95 605 1 0 0
20623182 0.6 603 0 0 1
20624188 0.85 602 1 0 1
20626205 0.25 604 1 0 1
30727211 0.95 703 1 0 0
30727212 0.9 703 1 0 0
30727215 0.95 703 1 0 0
30728219 0.88 702 1 0 1
30729229 0.5 701 1 0 1
30729231 0.83 701 1 0 1
30729241 0.95 701 1 1 0
30730249 0.85 705 1 1 0
30831254 1 802 1 1 0
30832258 0.85 801 1 0 1
30832259 0.79 801 1 0 1
30832267 0.9 801 1 1 0
30935283 0.41 902 1 1 1
30935286 0.8 902 1 0 1
30935292 1 902 1 0 0
30937303 0.8 903 1 1 1
41039319 0.84 1001 1 1 1
41039321 0.88 1001 1 1 1
41039323 0.9 1001 1 1 0
41039324 0.9 1001 1 0 1
41041338 0.44 1005 1 0 1
41041340 0.89 1005 1 1 1
41042346 0.84 1004 1 1 1
41042347 0.75 1001 1 1 1
41143361 0.9 1101 1 0 1
41143365 1 1101 1 0 1
41143367 1 1101 0 0 1
41244372 0.95 1202 1 0 1
41245379 0.85 1201 1 0 1
41448403 0.63 1301 1 1 1
41448406 0.8 1302 0 0 0
51055473 0.88 1605 0 0 0
51550420 0.8 1501 1 1 1
51550423 0.56 1501 0 0 1
51550427 0.95 1501 1 0 0
51550429 0.85 1501 1 0 1
51550431 1 1501 1 1 0
51653460 1 1606 1 0 0
51656479 1 1602 1 0 1
51760499 0.78 1702 1 0 1
51760507 1 1702 1 1 0
51761511 0.5 1701 0 0 1
51761513 0.61 1701 0 0 1
51761515 1 1701 1 1 0
61862528 0.9 1805 1 1 0
61863532 1 1806 0 0 1
61864544 1 1802 1 0 1
61864547 1 1802 1 1 0
61864548 1 1802 1 0 0
61865551 0.85 1801 1 0 1
61865560 1 1801 1 1 0
61865561 1 1801 1 0 0
61867584 0.94 1803 1 0 1
61968591 0.65 1902 0 0 1
61968593 0.7 1902 1 1 1
61968595 0.9 1902 1 1 1
61968602 0.89 1902 1 0 0
61969617 0.8 1901 1 0 0
61969622 0.9 1901 1 1 0
72070627 0.5 2001 0 0 0
72070633 1 2001 0 0 1
72070638 0.9 2001 1 0 0
72070639 0.95 2001 1 0 0
72070642 0.95 2001 1 1 0
72071647 0.93 2004 1 0 1
72072662 0.9 2005 0 0 1
72073674 0.95 2003 1 0 1
72073676 0.65 2003 0 0 0
72073680 0.9 2003 0 0 0
72074693 0.9 2002 1 0 0
72074695 0.95 2002 1 0 0
72175699 0.67 2103 0 0 1
72176718 0.75 605 1 1 1
72177725 0.7 2101 1 0 1
82278738 0.9 2201 1 0 1
82278741 0.9 2201 1 0 0
82278747 1 2201 1 0 0
82279760 0.8 2202 1 0 1
82279763 0.95 2202 0 0 0
82280774 0.9 2203 1 0 1
82282796 1 2201 1 0 1
82384813 0.22 2301 1 1 1
82384818 0.95 2301 1 0 0
82385824 0.58 2302 0 0 1
82385829 0.9 2302 0 0 1
92486841 0.9 2403 1 1 1
92486843 0.74 2403 1 1 1
92486844 0.9 2403 1 1 1
92487856 0.94 2405 1 0 1
92489886 0.68 2401 1 1 1
92489889 0.89 2401 1 1 0
92489890 0.89 2401 1 0 1
92489891 0.58 2401 1 1 1
92489894 1 2401 1 0 0
92590906 0.63 2504 1 1 1
92591916 0.64 2501 1 0 1
92591920 0.95 2501 1 0 0
92591922 0.9 2501 1 1 0
