"","SN","Source","WHO_REGION","Region","Country","ISO3","ISO2","ADMIN1","ADMIN1ID","ADMIN2","ADMIN2ID","IU_NAME","IU_ID","Location","SiteID","Longitude","Latitude","Georeliability","Location_type","Survey_type","Year","Age_start","Age_end","HK_examined","HK_positive","HK_prevalence","Asc_examined","Asc_positive","Asc_prevalence","TT_examined","TT_positive","TT_prevalence"
"1",24275,"SCI","AFRO","Western Africa","Liberia","LBR","LR","Bomi",2746,"Klay",39172,"Bomi",26818,"Amos A. Fully Elementary School",NA,-10.88558,6.59872,3,NA,"Mapping",2013,10,14,30,8,0.266666667,30,10,0.333333333,30,1,0.033333333
"2",24276,"SCI","AFRO","Western Africa","Liberia","LBR","LR","Bomi",2746,"Klay",39172,"Bomi",26818,"Barmoore Public School",NA,-10.89821,6.90808,3,NA,"Mapping",2013,10,14,30,2,0.066666667,30,3,0.1,30,0,0
"3",24277,"SCI","AFRO","Western Africa","Liberia","LBR","LR","Bomi",2746,"Klay",39172,"Bomi",26818,"Bassa Public School",NA,-10.73029,6.58376,3,NA,"Mapping",2013,10,14,30,6,0.2,30,5,0.166666667,30,0,0
"4",24278,"SCI","AFRO","Western Africa","Liberia","LBR","LR","Bomi",2746,"Klay",39172,"Bomi",26818,"Beafine Public School",NA,-10.89724,6.85998,3,NA,"Mapping",2013,10,14,30,2,0.066666667,30,3,0.1,30,0,0
"5",24279,"SCI","AFRO","Western Africa","Liberia","LBR","LR","Bomi",2746,"Klay",39172,"Bomi",26818,"Beajah Public School",NA,-10.85831,6.82909,3,NA,"Mapping",2013,10,14,30,2,0.066666667,30,6,0.2,30,0,0
"6",24280,"SCI","AFRO","Western Africa","Liberia","LBR","LR","Bomi",2746,"Klay",39172,"Bomi",26818,"Beakini Public School",NA,-10.85891,6.73518,3,NA,"Mapping",2013,10,14,30,8,0.266666667,30,11,0.366666667,30,1,0.033333333
"7",24282,"SCI","AFRO","Western Africa","Liberia","LBR","LR","Bomi",2746,"Klay",39172,"Bomi",26818,"Beh-Sao Public School",NA,-10.91408,6.73505,3,NA,"Mapping",2013,10,14,30,4,0.133333333,30,1,0.033333333,30,0,0
"8",24281,"SCI","AFRO","Western Africa","Liberia","LBR","LR","Bomi",2746,"Klay",39172,"Bomi",26818,"Beh Town Elementary and Junior High School",NA,-10.98512,6.6181502,3,NA,"Mapping",2013,10,14,30,2,0.066666667,30,4,0.133333333,30,0,0
"9",24283,"SCI","AFRO","Western Africa","Liberia","LBR","LR","Bomi",2746,"Mecca",39173,"Bomi",26818,"Big Geweh Public School",NA,-10.60921,6.7968,3,NA,"Mapping",2013,10,14,30,3,0.1,30,4,0.133333333,30,0,0
"10",24284,"SCI","AFRO","Western Africa","Liberia","LBR","LR","Bomi",2746,"Klay",39172,"Bomi",26818,"Bola Public School",NA,-10.84416,6.91345,3,NA,"Mapping",2013,10,14,30,1,0.033333333,30,1,0.033333333,30,0,0
"11",24285,"SCI","AFRO","Western Africa","Liberia","LBR","LR","Bomi",2746,"Klay",39172,"Bomi",26818,"Bonjeh Public School",NA,-10.85572,6.48911,3,NA,"Mapping",2013,10,14,30,1,0.033333333,30,3,0.1,30,0,0
"12",24286,"SCI","AFRO","Western Africa","Liberia","LBR","LR","Bomi",2746,"Klay",39172,"Bomi",26818,"Dagweh-Town Public School",NA,-10.94603,6.5692,3,NA,"Mapping",2013,10,14,30,3,0.1,30,5,0.166666667,30,0,0
"13",24287,"SCI","AFRO","Western Africa","Liberia","LBR","LR","Bomi",2746,"Klay",39172,"Bomi",26818,"Damah Public School",NA,-10.9215,6.71993,3,NA,"Mapping",2013,10,14,30,6,0.2,30,1,0.033333333,30,0,0
"14",24288,"SCI","AFRO","Western Africa","Liberia","LBR","LR","Bomi",2746,"Klay",39172,"Bomi",26818,"Deadilah Public School",NA,-10.76246,6.68693,3,NA,"Mapping",2013,10,14,30,6,0.2,30,5,0.166666667,30,0,0
"15",24289,"SCI","AFRO","Western Africa","Liberia","LBR","LR","Bomi",2746,"Klay",39172,"Bomi",26818,"Demeh Public School",NA,-10.8345,6.52407,3,NA,"Mapping",2013,10,14,30,3,0.1,30,5,0.166666667,30,0,0
"16",24290,"SCI","AFRO","Western Africa","Liberia","LBR","LR","Bomi",2746,"Klay",39172,"Bomi",26818,"Domabeay Public School",NA,-10.86101,6.6407,3,NA,"Mapping",2013,10,14,30,5,0.166666667,30,3,0.1,30,1,0.033333333
"17",24291,"SCI","AFRO","Western Africa","Liberia","LBR","LR","Bomi",2746,"Klay",39172,"Bomi",26818,"Fefeh Town School",NA,-10.74138,6.65115,3,NA,"Mapping",2013,10,14,30,8,0.266666667,30,7,0.233333333,30,0,0
"18",24292,"SCI","AFRO","Western Africa","Liberia","LBR","LR","Bomi",2746,"Klay",39172,"Bomi",26818,"Folley Town Jeon School",NA,-10.83715,6.58127,3,NA,"Mapping",2013,10,14,30,4,0.133333333,30,2,0.066666667,30,0,0
"19",24293,"SCI","AFRO","Western Africa","Liberia","LBR","LR","Bomi",2746,"Klay",39172,"Bomi",26818,"Gayah Hills Public School",NA,-10.91133,6.76038,3,NA,"Mapping",2013,10,14,30,1,0.033333333,30,3,0.1,30,0,0
"20",24294,"SCI","AFRO","Western Africa","Liberia","LBR","LR","Bomi",2746,"Klay",39172,"Bomi",26818,"Gbah Public School",NA,-10.97398,6.7145,3,NA,"Mapping",2013,10,14,30,2,0.066666667,30,2,0.066666667,30,0,0
"21",24295,"SCI","AFRO","Western Africa","Liberia","LBR","LR","Bomi",2746,"Klay",39172,"Bomi",26818,"Gbaigbon Public School",NA,-10.99524,6.57014,3,NA,"Mapping",2013,10,14,30,2,0.066666667,30,4,0.133333333,30,0,0
"22",24296,"SCI","AFRO","Western Africa","Liberia","LBR","LR","Bomi",2746,"Klay",39172,"Bomi",26818,"Gbao Public School",NA,-10.66823,6.68218,3,NA,"Mapping",2013,10,14,30,3,0.1,30,8,0.266666667,30,0,0
"23",24297,"SCI","AFRO","Western Africa","Liberia","LBR","LR","Bomi",2746,"Klay",39172,"Bomi",26818,"Gertrude Yancy Public School",NA,-10.87114,6.69475,3,NA,"Mapping",2013,10,14,30,7,0.233333333,30,7,0.233333333,30,0,0
"24",24298,"SCI","AFRO","Western Africa","Liberia","LBR","LR","Bomi",2746,"Klay",39172,"Bomi",26818,"Goghen Public School",NA,-10.73279,6.73258,3,NA,"Mapping",2013,10,14,30,6,0.2,30,10,0.333333333,30,0,0
"25",24299,"SCI","AFRO","Western Africa","Liberia","LBR","LR","Bomi",2746,"Klay",39172,"Bomi",26818,"Gomai Public School",NA,-10.93364,6.5763,3,NA,"Mapping",2013,10,14,30,2,0.066666667,30,5,0.166666667,30,0,0
"26",24300,"SCI","AFRO","Western Africa","Liberia","LBR","LR","Bomi",2746,"Klay",39172,"Bomi",26818,"Gonjeh Public School",NA,-10.8350938,6.6467576,1,NA,"Mapping",2013,10,14,30,6,0.2,30,5,0.166666667,30,0,0
